,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
14,6.9,25.0,2.0916,38.3258,57.0822484272726,20.23,128.215,1.0,1.0,0.0,25.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-20.8
15,7.2,25.0,2.7820000000000014,57.62240000000005,81.94531551713972,0.0,179.30700000000004,1.0,0.0,5.0,34.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-20.64
16,7.2,25.0,2.113999999999998,107.40840000000007,174.44805215366245,100.82,407.57100000000014,5.0,3.0,4.0,68.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-20.6
17,6.9,25.0,1.3004000000000002,61.22420000000003,103.6697734660663,74.27,310.189,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-20.41
18,6.9,25.0,1.3004000000000002,61.22420000000003,103.6697734660663,74.27,310.189,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-20.32
20,6.9,25.0,2.1466000000000003,49.20200000000003,77.8683218346148,46.5,181.235,3.0,0.0,1.0,28.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.5
21,7.2,25.0,1.7439000000000002,51.91120000000002,81.7417036612728,57.2,207.23,3.0,0.0,1.0,21.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.43
22,6.9,25.0,2.1466000000000003,49.20200000000003,77.8683218346148,46.5,181.235,3.0,0.0,1.0,28.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.34
25,6.9,25.0,1.3724999999999998,45.62580000000002,72.96782360258035,37.3,168.23599999999996,2.0,1.0,0.0,28.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.3
26,7.2,25.0,1.2302000000000004,120.41810000000008,196.88932066610744,129.92,464.62300000000033,7.0,4.0,6.0,75.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.29
27,7.2,25.0,1.7015,33.70879999999999,50.717306312876,20.23,114.18799999999999,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.23
28,6.9,25.0,1.3724999999999998,45.62580000000002,72.96782360258035,37.3,168.23599999999996,2.0,1.0,0.0,28.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.2
29,7.2,25.0,2.0255,129.97530000000006,209.56220082390828,146.98999999999995,514.7050000000003,8.0,4.0,7.0,79.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.18
30,6.9,25.0,1.5574,33.63879999999999,50.71730631287598,20.23,114.188,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-19.0
31,6.9,24.85,1.2024999999999997,54.52940000000004,80.16508683595544,16.61,176.28300000000004,1.0,2.0,2.0,31.0,1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-18.83
32,7.2,25.0,0.6480000000000004,59.874400000000016,103.3703396713134,114.39999999999998,286.286,6.0,0.0,2.0,24.0,-2.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-18.8
34,6.9,25.0,0.7066999999999996,36.19899999999999,61.24377052731636,40.13,141.19,2.0,0.0,2.0,23.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-17.7
35,6.9,25.0,1.7015,33.70879999999999,50.717306312876,20.23,114.18800000000002,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-17.47
36,6.9,25.0,1.5574,33.63879999999999,50.71730631287597,20.23,114.188,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-17.08
37,6.9,25.0,1.5574,33.63879999999999,50.71730631287598,20.23,114.188,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-16.66
39,6.9,25.0,1.5574,33.63879999999999,50.71730631287597,20.23,114.188,1.0,1.0,0.0,22.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-16.38
40,6.9,25.0,-0.32250000000000023,37.5888,66.03800427951236,60.36,157.189,3.0,1.0,2.0,24.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-16.31
41,6.9,25.0,1.0725999999999996,50.84770000000003,83.75878478571174,64.63,203.238,5.0,1.0,2.0,31.0,0.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-16.09
42,6.9,25.0,0.927,53.126200000000026,89.80222586042498,74.27,231.293,4.0,0.0,2.0,30.0,-1.0,-15.23060000000003,228.4337999999996,433.9237704990695,554.0500000000002,1134.9870000000014,35.0,21.0,7.0,147.0,-15.99
