,pH,Temp (C),SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,HOST_SlogP,HOST_SMR,HOST_LabuteASA,HOST_TPSA,HOST_AMW,HOST_NumLipinskiHBA,HOST_NumLipinskiHBD,HOST_NumRotatableBonds,outlier
28,7.4,24.85,2.5837400000000006,72.33370000000005,103.822157988525,32.34,234.343,3.0,1.0,5.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
29,7.4,24.85,4.921480000000003,142.5533999999999,205.2700070636171,64.67999999999999,466.67000000000013,6.0,2.0,13.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['SMR', 'LabuteASA', 'AMW', 'HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
30,7.4,24.85,3.3972000000000024,87.91020000000006,128.03052956122173,41.57,292.423,4.0,1.0,10.0,-0.9581999999999876,275.3371999999997,485.42764630411585,361.56000000000006,1193.1059999999989,32.0,4.0,12.0,"['HOST_SlogP', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
31,7.0,26.85,1.1919999999999995,71.05800000000005,106.68188761964994,17.619999999999994,244.342,4.0,0.0,2.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
32,7.0,26.85,2.224,89.73800000000004,132.14165607723638,17.619999999999994,300.45,4.0,0.0,4.0,-6.6080000000000085,248.2059999999996,467.11024450675467,329.7,1162.9799999999989,42.0,0.0,0.0,"['HOST_SlogP', 'HOST_TPSA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
33,7.0,26.85,1.1919999999999995,71.05800000000005,106.68188761964994,17.619999999999994,244.342,4.0,0.0,2.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
34,7.0,26.85,2.224,89.73800000000004,132.14165607723638,17.619999999999994,300.45,4.0,0.0,4.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
35,7.0,25.0,2.5454,45.61280000000002,64.90730140342819,20.23,144.17299999999997,1.0,1.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
36,7.0,25.0,2.2510000000000003,47.27760000000003,69.7015351556242,40.46,160.172,2.0,2.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
37,7.0,25.0,2.2510000000000003,47.27760000000003,69.7015351556242,40.46,160.172,2.0,2.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
38,7.0,25.0,1.3922,28.106799999999996,42.22563687169298,20.23,94.113,1.0,1.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
39,7.0,25.0,1.9968,40.82380000000001,61.48747499273661,20.23,220.009,1.0,1.0,0.0,-7.552000000000019,283.6640000000002,533.6447826134475,376.8,1329.119999999999,48.0,0.0,0.0,"['HOST_NumLipinskiHBA', 'HOST_NumLipinskiHBD', 'HOST_NumRotatableBonds']"
