BindingDB,Host,Guest,pH,Temp,SlogP,SMR,LabuteASA,TPSA,AMW,NumLipinskiHBA,NumLipinskiHBD,NumRotatableBonds,NumAtoms,Formal Charge,SlogP (#1),SMR (#1),LabuteASA (#1),TPSA (#1),AMW (#1),NumLipinskiHBA (#1),NumLipinskiHBD (#1),NumRotatableBonds (#1),NumAtoms (#1),delta_g0
3540_31,BDBM4,BDBM36196,6.9,25.0,0.09260000000000003,29.05499999999999,48.83011441986811,40.13,113.13600000000001,2.0,0.0,3.0,17.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-12.6
3536_23,BDBM4,BDBM36159,6.9,25.0,1.1673,26.588799999999992,38.99325323761199,20.23,88.14999999999998,1.0,1.0,2.0,18.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-12.0
3536_22,BDBM4,BDBM36158,6.9,25.0,1.1673,26.588799999999992,38.99325323761199,20.23,88.14999999999998,1.0,1.0,2.0,18.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-12.0
3540_38,BDBM4,BDBM36139,6.9,25.0,0.4185,27.2801,39.53891018242869,27.64,88.17399999999999,1.0,3.0,3.0,20.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-11.38
3539_2,BDBM4,BDBM36173,6.9,25.0,0.7787999999999999,21.9938,32.62831112321538,20.23,74.12299999999998,1.0,1.0,2.0,15.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-10.98
3540_28,BDBM4,BDBM36182,6.9,25.0,-0.07350000000000012,24.53199999999999,43.15477533765576,40.13,101.125,2.0,0.0,3.0,16.0,-1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-10.86
6_2,BDBM4,BDBM5,6.9,20.7,1.3114,29.091799999999985,44.352364198479385,20.23,100.161,1.0,1.0,0.0,19.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-10.5
3540_47,BDBM4,BDBM36178,6.9,25.0,1.7015,33.70879999999999,50.717306312876,20.23,114.18799999999999,1.0,1.0,0.0,22.0,0.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-10.5
3529_37,BDBM4,BDBM36030,6.9,24.85,0.77942,42.63810000000001,61.8661201596995,27.64,136.21800000000002,1.0,3.0,2.0,24.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-10.17
3529_4,BDBM4,BDBM36011,6.9,24.85,1.2024999999999997,54.52940000000004,80.16508683595544,16.61,176.28300000000004,1.0,2.0,2.0,31.0,1.0,-13.054800000000027,195.80039999999968,372.1301572506171,474.90000000000015,972.8460000000013,30.0,18.0,6.0,126.0,-9.43
